Date;Price;Ticker
10/08/2021;121,16;URTH
11/08/2021;121,59;URTH
12/08/2021;121,85;URTH
13/08/2021;122,22;URTH
16/08/2021;122,18;URTH
17/08/2021;121,25;URTH
18/08/2021;120,26;URTH
19/08/2021;119,81;URTH
20/08/2021;120,67;URTH
23/08/2021;121,82;URTH
24/08/2021;122,06;URTH
25/08/2021;122,26;URTH
26/08/2021;121,6;URTH
27/08/2021;122,66;URTH
30/08/2021;123,02;URTH
31/08/2021;122,83;URTH
01/09/2021;123,23;URTH
02/09/2021;123,62;URTH
03/09/2021;123,79;URTH
07/09/2021;123,47;URTH
08/09/2021;123,08;URTH
09/09/2021;122,66;URTH
10/09/2021;121,97;URTH
13/09/2021;122,39;URTH
14/09/2021;121,8;URTH
15/09/2021;122,53;URTH
16/09/2021;122,36;URTH
17/09/2021;121,1;URTH
20/09/2021;119,05;URTH
21/09/2021;119,26;URTH
22/09/2021;120,31;URTH
23/09/2021;121,71;URTH
24/09/2021;121,49;URTH
27/09/2021;121,24;URTH
28/09/2021;118,65;URTH
29/09/2021;118,65;URTH
30/09/2021;117,66;URTH
01/10/2021;118,62;URTH
04/10/2021;117,24;URTH
05/10/2021;118,18;URTH
06/10/2021;118,41;URTH
07/10/2021;119,41;URTH
08/10/2021;119,28;URTH
11/10/2021;118,65;URTH
12/10/2021;118,44;URTH
13/10/2021;119,11;URTH
14/10/2021;121,01;URTH
15/10/2021;121,88;URTH
18/10/2021;122,06;URTH
19/10/2021;122,92;URTH
20/10/2021;123,3;URTH
21/10/2021;123,42;URTH
22/10/2021;123,5;URTH
25/10/2021;123,85;URTH
26/10/2021;124,01;URTH
27/10/2021;123,4;URTH
28/10/2021;124,54;URTH
29/10/2021;124,53;URTH
01/11/2021;125,06;URTH
02/11/2021;125,32;URTH
03/11/2021;126,18;URTH
04/11/2021;126,46;URTH
05/11/2021;126,87;URTH
08/11/2021;126,95;URTH
09/11/2021;126,57;URTH
10/11/2021;125,33;URTH
11/11/2021;125,6;URTH
12/11/2021;126,56;URTH
15/11/2021;126,46;URTH
16/11/2021;126,77;URTH
17/11/2021;126,43;URTH
18/11/2021;126,74;URTH
19/11/2021;126,18;URTH
22/11/2021;125,53;URTH
23/11/2021;125,54;URTH
24/11/2021;125,63;URTH
26/11/2021;122,81;URTH
29/11/2021;123,89;URTH
30/11/2021;121,98;URTH
01/12/2021;120,53;URTH
02/12/2021;122,25;URTH
03/12/2021;121,32;URTH
06/12/2021;122,58;URTH
07/12/2021;125,14;URTH
08/12/2021;125,57;URTH
09/12/2021;124,49;URTH
10/12/2021;125,21;URTH
13/12/2021;124,12;URTH
14/12/2021;123,13;URTH
15/12/2021;125,0;URTH
16/12/2021;124,4;URTH
17/12/2021;123,08;URTH
20/12/2021;122,05;URTH
21/12/2021;124,02;URTH
22/12/2021;125,12;URTH
23/12/2021;126,02;URTH
27/12/2021;127,4;URTH
28/12/2021;127,27;URTH
29/12/2021;127,36;URTH
30/12/2021;127,17;URTH
31/12/2021;126,87;URTH
03/01/2022;127,56;URTH
04/01/2022;127,56;URTH
05/01/2022;125,42;URTH
06/01/2022;125,19;URTH
07/01/2022;124,88;URTH
10/01/2022;124,36;URTH
11/01/2022;125,66;URTH
12/01/2022;126,21;URTH
13/01/2022;124,68;URTH
14/01/2022;124,7;URTH
18/01/2022;122,46;URTH
19/01/2022;121,58;URTH
20/01/2022;120,44;URTH
21/01/2022;118,31;URTH
24/01/2022;118,23;URTH
25/01/2022;117,06;URTH
26/01/2022;116,65;URTH
27/01/2022;116,04;URTH
28/01/2022;118,08;URTH
31/01/2022;120,31;URTH
01/02/2022;121,3;URTH
02/02/2022;122,31;URTH
03/02/2022;119,67;URTH
04/02/2022;120,22;URTH
07/02/2022;120,07;URTH
08/02/2022;120,93;URTH
09/02/2022;122,78;URTH
10/02/2022;120,86;URTH
11/02/2022;118,74;URTH
14/02/2022;118,24;URTH
15/02/2022;120,29;URTH
16/02/2022;120,51;URTH
17/02/2022;118,17;URTH
18/02/2022;117,29;URTH
22/02/2022;115,9;URTH
23/02/2022;114,22;URTH
24/02/2022;114,78;URTH
25/02/2022;117,46;URTH
28/02/2022;116,8;URTH
01/03/2022;114,91;URTH
02/03/2022;116,8;URTH
03/03/2022;115,55;URTH
04/03/2022;114,0;URTH
07/03/2022;110,59;URTH
08/03/2022;110,21;URTH
09/03/2022;113,61;URTH
10/03/2022;112,91;URTH
11/03/2022;111,48;URTH
14/03/2022;111,04;URTH
15/03/2022;113,14;URTH
16/03/2022;116,1;URTH
17/03/2022;117,32;URTH
18/03/2022;118,83;URTH
21/03/2022;118,71;URTH
22/03/2022;120,09;URTH
23/03/2022;118,6;URTH
24/03/2022;120,06;URTH
25/03/2022;120,42;URTH
28/03/2022;120,96;URTH
29/03/2022;122,83;URTH
30/03/2022;122,06;URTH
31/03/2022;120,16;URTH
01/04/2022;120,77;URTH
04/04/2022;121,63;URTH
05/04/2022;120,02;URTH
06/04/2022;118,71;URTH
07/04/2022;119,22;URTH
08/04/2022;118,88;URTH
11/04/2022;117,1;URTH
12/04/2022;116,56;URTH
13/04/2022;118,03;URTH
14/04/2022;116,83;URTH
18/04/2022;116,44;URTH
19/04/2022;117,89;URTH
20/04/2022;118,06;URTH
21/04/2022;116,3;URTH
22/04/2022;113,43;URTH
25/04/2022;113,7;URTH
26/04/2022;110,64;URTH
27/04/2022;111,06;URTH
28/04/2022;113,45;URTH
29/04/2022;110,09;URTH
02/05/2022;110,49;URTH
03/05/2022;111,08;URTH
04/05/2022;113,94;URTH
05/05/2022;109,79;URTH
06/05/2022;109,08;URTH
09/05/2022;105,54;URTH
10/05/2022;105,79;URTH
11/05/2022;104,39;URTH
12/05/2022;104,35;URTH
13/05/2022;107,03;URTH
16/05/2022;106,72;URTH
17/05/2022;108,88;URTH
18/05/2022;105,05;URTH
19/05/2022;105,0;URTH
20/05/2022;105,31;URTH
23/05/2022;107,12;URTH
24/05/2022;106,35;URTH
25/05/2022;107,14;URTH
26/05/2022;109,01;URTH
27/05/2022;111,26;URTH
31/05/2022;110,58;URTH
01/06/2022;109,71;URTH
02/06/2022;111,93;URTH
03/06/2022;110,08;URTH
06/06/2022;110,48;URTH
07/06/2022;111,39;URTH
08/06/2022;110,12;URTH
09/06/2022;107,55;URTH
10/06/2022;104,5;URTH
13/06/2022;100,48;URTH
14/06/2022;99,98;URTH
15/06/2022;101,63;URTH
16/06/2022;98,59;URTH
17/06/2022;98,67;URTH
21/06/2022;100,73;URTH
22/06/2022;100,4;URTH
23/06/2022;101,02;URTH
24/06/2022;104,08;URTH
27/06/2022;103,83;URTH
28/06/2022;102,07;URTH
29/06/2022;101,89;URTH
30/06/2022;101,08;URTH
01/07/2022;101,91;URTH
05/07/2022;101,47;URTH
06/07/2022;101,72;URTH
07/07/2022;103,28;URTH
08/07/2022;103,32;URTH
11/07/2022;101,82;URTH
12/07/2022;101,3;URTH
13/07/2022;100,97;URTH
14/07/2022;100,23;URTH
15/07/2022;101,94;URTH
18/07/2022;101,61;URTH
19/07/2022;104,38;URTH
20/07/2022;104,66;URTH
21/07/2022;105,79;URTH
22/07/2022;104,92;URTH
25/07/2022;105,27;URTH
26/07/2022;103,88;URTH
27/07/2022;106,55;URTH
28/07/2022;107,72;URTH
29/07/2022;109,29;URTH
01/08/2022;109,11;URTH
02/08/2022;108,16;URTH
03/08/2022;109,53;URTH
04/08/2022;109,7;URTH
05/08/2022;109,36;URTH
08/08/2022;109,32;URTH
09/08/2022;108,77;URTH
10/08/2022;111,19;URTH
11/08/2022;111,21;URTH
12/08/2022;112,76;URTH
15/08/2022;112,88;URTH
16/08/2022;113,11;URTH
17/08/2022;112,22;URTH
18/08/2022;112,23;URTH
19/08/2022;110,72;URTH
22/08/2022;108,5;URTH
23/08/2022;108,5;URTH
24/08/2022;108,8;URTH
25/08/2022;110,22;URTH
26/08/2022;106,78;URTH
29/08/2022;106,18;URTH
30/08/2022;105,1;URTH
31/08/2022;104,29;URTH
01/09/2022;103,99;URTH
02/09/2022;103,06;URTH
06/09/2022;102,62;URTH
07/09/2022;104,2;URTH
08/09/2022;104,74;URTH
09/09/2022;106,77;URTH
12/09/2022;108,01;URTH
13/09/2022;103,59;URTH
14/09/2022;104,0;URTH
15/09/2022;102,94;URTH
16/09/2022;102,14;URTH
19/09/2022;102,74;URTH
20/09/2022;101,48;URTH
21/09/2022;99,86;URTH
22/09/2022;99,02;URTH
23/09/2022;96,83;URTH
26/09/2022;95,66;URTH
27/09/2022;95,4;URTH
28/09/2022;97,36;URTH
29/09/2022;95,68;URTH
30/09/2022;94,52;URTH
03/10/2022;96,84;URTH
04/10/2022;100,14;URTH
05/10/2022;99,76;URTH
06/10/2022;98,53;URTH
07/10/2022;96,04;URTH
10/10/2022;95,43;URTH
11/10/2022;94,62;URTH
12/10/2022;94,32;URTH
13/10/2022;96,75;URTH
14/10/2022;94,53;URTH
17/10/2022;96,96;URTH
18/10/2022;98,0;URTH
19/10/2022;97,17;URTH
20/10/2022;96,54;URTH
21/10/2022;98,62;URTH
24/10/2022;99,36;URTH
25/10/2022;101,25;URTH
26/10/2022;101,0;URTH
27/10/2022;100,48;URTH
28/10/2022;102,4;URTH
31/10/2022;101,59;URTH
01/11/2022;101,61;URTH
02/11/2022;99,27;URTH
03/11/2022;98,3;URTH
04/11/2022;100,36;URTH
07/11/2022;101,12;URTH
08/11/2022;101,85;URTH
09/11/2022;99,92;URTH
10/11/2022;105,44;URTH
11/11/2022;106,88;URTH
14/11/2022;105,81;URTH
15/11/2022;106,73;URTH
16/11/2022;106,04;URTH
17/11/2022;105,77;URTH
18/11/2022;106,16;URTH
21/11/2022;105,53;URTH
22/11/2022;107,03;URTH
23/11/2022;107,86;URTH
25/11/2022;108,0;URTH
28/11/2022;106,4;URTH
29/11/2022;106,31;URTH
30/11/2022;109,17;URTH
01/12/2022;109,53;URTH
02/12/2022;109,41;URTH
05/12/2022;107,46;URTH
06/12/2022;106,21;URTH
07/12/2022;106,08;URTH
08/12/2022;106,84;URTH
09/12/2022;106,3;URTH
12/12/2022;107,37;URTH
13/12/2022;108,47;URTH
14/12/2022;107,96;URTH
15/12/2022;105,2;URTH
16/12/2022;104,1;URTH
19/12/2022;103,35;URTH
20/12/2022;103,61;URTH
21/12/2022;105,04;URTH
22/12/2022;103,73;URTH
23/12/2022;104,26;URTH
27/12/2022;104,01;URTH
28/12/2022;102,76;URTH
29/12/2022;104,54;URTH
30/12/2022;104,08;URTH
03/01/2023;103,93;URTH
04/01/2023;104,95;URTH
05/01/2023;103,72;URTH
06/01/2023;106,17;URTH
09/01/2023;106,3;URTH
10/01/2023;106,88;URTH
11/01/2023;108,04;URTH
12/01/2023;108,88;URTH
13/01/2023;109,36;URTH
17/01/2023;109,35;URTH
18/01/2023;108,1;URTH
19/01/2023;107,41;URTH
20/01/2023;109,14;URTH
23/01/2023;110,22;URTH
24/01/2023;110,12;URTH
25/01/2023;110,34;URTH
26/01/2023;111,25;URTH
27/01/2023;111,41;URTH
30/01/2023;110,16;URTH
